Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,63.130001068115234,65.8550033569336,62.130001068115234,65.8499984741211,55.558197021484375,771777
2021-12-28,66.0,66.26370239257812,65.30000305175781,65.95999908447266,55.651004791259766,641734
2021-12-29,65.80999755859375,66.05000305175781,65.1500015258789,65.56999969482422,55.32196044921875,646121
2021-12-30,65.4000015258789,66.1500015258789,64.16000366210938,64.3499984741211,54.292633056640625,571420
2021-12-31,64.30000305175781,64.83000183105469,63.66999816894531,64.5199966430664,54.43606185913086,454888
2022-01-03,64.9000015258789,66.69999694824219,64.7300033569336,66.55000305175781,56.14879608154297,849226
2022-01-04,66.9000015258789,68.80000305175781,66.4000015258789,66.77999877929688,56.342838287353516,1151731
2022-01-05,68.77999877929688,69.4999008178711,65.13999938964844,65.19000244140625,55.00135040283203,1535746
2022-01-06,65.98999786376953,67.41000366210938,65.19999694824219,66.73999786376953,56.3090934753418,1401143
2022-01-07,67.27999877929688,69.69000244140625,66.72000122070312,69.30000305175781,58.468990325927734,1212864
2022-01-10,68.98999786376953,71.36000061035156,68.51000213623047,70.19999694824219,59.22832489013672,2126465
2022-01-11,70.30999755859375,70.88999938964844,68.31999969482422,69.88999938964844,58.96677780151367,1894244
2022-01-12,70.87999725341797,73.66000366210938,69.52999877929688,73.11000061035156,61.68351745605469,1820893
2022-01-13,73.33000183105469,73.41000366210938,69.88999938964844,70.0999984741211,59.143959045410156,1035899
2022-01-14,70.47000122070312,71.66999816894531,69.67500305175781,71.5199966430664,60.342018127441406,1534633
2022-01-18,73.0,73.19000244140625,68.7699966430664,69.47000122070312,58.612422943115234,1465514
2022-01-19,69.66999816894531,70.64990234375,66.93000030517578,67.52999877929688,56.97562789916992,1515552
2022-01-20,66.79000091552734,68.29000091552734,64.62000274658203,64.79000091552734,54.66386413574219,2253471
2022-01-21,63.939998626708984,64.58000183105469,62.31999969482422,63.040000915527344,53.187374114990234,1823949
2022-01-24,61.540000915527344,63.83000183105469,61.45000076293945,63.7599983215332,53.79484558105469,1706694
2022-01-25,64.1500015258789,67.94999694824219,63.310001373291016,67.12999725341797,56.63814163208008,2560519
2022-01-26,68.83999633789062,70.56999969482422,67.19999694824219,68.43000030517578,57.734954833984375,1722851
2022-01-27,70.3499984741211,70.69999694824219,66.87999725341797,69.12000274658203,58.31713104248047,1875539
2022-01-28,69.08999633789062,70.30999755859375,67.6500015258789,68.38999938964844,57.70121765136719,1822984
2022-01-31,68.2300033569336,69.04000091552734,67.43000030517578,68.16999816894531,57.51559066772461,1025009
2022-02-01,67.66000366210938,69.25,67.43689727783203,68.47000122070312,57.768707275390625,1747240
2022-02-02,70.0,71.27999877929688,67.87999725341797,69.5,58.63772964477539,2622070
2022-02-03,68.58999633789062,69.29000091552734,67.08999633789062,67.69000244140625,57.110618591308594,1319916
2022-02-04,68.0,69.11000061035156,66.69000244140625,66.9800033569336,56.511592864990234,1200942
2022-02-07,66.20999908447266,67.5250015258789,65.86000061035156,66.79000091552734,56.35128402709961,1411164
2022-02-08,66.5,67.1500015258789,64.51000213623047,65.72000122070312,55.44852066040039,1751533
2022-02-09,65.5199966430664,66.19000244140625,64.94999694824219,65.68000030517578,55.414772033691406,1519998
2022-02-10,65.01000213623047,67.13999938964844,65.01000213623047,65.62000274658203,55.3641471862793,1403707
2022-02-11,67.33000183105469,69.5999984741211,66.76000213623047,69.1500015258789,58.342430114746094,1813838
2022-02-14,69.12999725341797,69.9800033569336,67.13999938964844,67.7699966430664,57.17812728881836,738963
2022-02-15,66.61000061035156,68.6500015258789,66.2699966430664,68.2699966430664,57.5999641418457,831714
2022-02-16,68.5999984741211,69.63999938964844,65.92500305175781,66.56999969482422,56.16566467285156,1064263
2022-02-17,66.48999786376953,68.36000061035156,65.9800033569336,66.81999969482422,56.37659454345703,784768
2022-02-18,66.27999877929688,67.27999877929688,65.7300033569336,65.77999877929688,55.499141693115234,1050456
2022-02-22,67.4468002319336,67.79000091552734,64.81009674072266,66.3499984741211,55.98005294799805,1994934
2022-02-23,67.1500015258789,69.70999908447266,66.95999908447266,68.5,57.79402542114258,2900450
2022-02-24,70.95999908447266,73.58000183105469,66.5,70.91000366210938,59.827362060546875,3957299
2022-02-25,71.38999938964844,75.86000061035156,71.3499984741211,75.08000183105469,63.34562683105469,2879585
2022-02-28,75.05000305175781,77.58999633789062,74.56999969482422,77.25,65.17648315429688,2084250
2022-03-01,77.54000091552734,79.3499984741211,76.69999694824219,79.2699966430664,66.8807601928711,1620354
2022-03-02,80.0,80.45999908447266,78.11100006103516,79.37000274658203,66.96514892578125,1697815
2022-03-03,78.69999694824219,80.69000244140625,78.06999969482422,80.27999877929688,67.73291015625,1558364
2022-03-04,78.33000183105469,85.20999908447266,78.33000183105469,85.0,73.32969665527344,3064375
2022-03-07,85.80999755859375,88.75,83.18000030517578,85.88999938964844,74.09750366210938,3075395
2022-03-08,87.0,87.9000015258789,82.16999816894531,82.45999908447266,71.13842010498047,2891248
2022-03-09,79.38999938964844,82.45999908447266,78.12999725341797,80.87999725341797,69.77535247802734,2079265
2022-03-10,81.33999633789062,81.87000274658203,80.41000366210938,80.86000061035156,69.75810241699219,1530312
2022-03-11,80.01000213623047,82.33000183105469,79.09709930419922,80.55000305175781,69.49066162109375,1318946
2022-03-14,79.0199966430664,79.05000305175781,74.77999877929688,76.26000213623047,65.78968048095703,1661984
2022-03-15,73.5,76.33999633789062,73.26000213623047,75.45999908447266,65.09951782226562,1645216
2022-03-16,75.79000091552734,77.75,75.7300033569336,77.01000213623047,66.43670654296875,1844771
2022-03-17,79.18000030517578,79.58999633789062,78.06999969482422,79.01000213623047,68.162109375,2217200
2022-03-18,78.20999908447266,79.0,77.51000213623047,78.51000213623047,67.73075103759766,2931930
2022-03-21,80.4000015258789,81.91999816894531,79.19999694824219,81.05999755859375,69.93064880371094,1761904
2022-03-22,81.05999755859375,81.26000213623047,78.30000305175781,80.51000213623047,69.4561538696289,1377010
2022-03-23,81.27999877929688,84.9800033569336,80.55999755859375,84.05999755859375,72.51875305175781,1761747
2022-03-24,84.5199966430664,87.27999877929688,84.0,87.0,75.05509948730469,2358752
2022-03-25,86.06999969482422,90.58000183105469,85.86000061035156,89.31999969482422,77.05656433105469,3060706
2022-03-28,87.19000244140625,90.12000274658203,86.7699966430664,87.94999694824219,75.87466430664062,1677625
2022-03-29,84.44000244140625,87.01000213623047,83.18000030517578,86.80999755859375,74.89117431640625,1491189
2022-03-30,88.05999755859375,90.20999908447266,87.4800033569336,88.11000061035156,76.0126953125,1929117
2022-03-31,87.93000030517578,90.7249984741211,86.69999694824219,87.0,75.05509948730469,1799902
2022-04-01,88.06999969482422,90.75879669189453,87.81999969482422,90.0,77.64319610595703,1792590
2022-04-04,91.7699966430664,91.80000305175781,87.41999816894531,88.9800033569336,76.76325225830078,1344464
2022-04-05,90.25,91.20999908447266,88.30000305175781,88.66999816894531,76.49580383300781,1307113
2022-04-06,88.80000305175781,91.76000213623047,87.58000183105469,90.02999877929688,77.66908264160156,2253109
2022-04-07,91.6500015258789,92.7300033569336,87.3499984741211,90.61000061035156,78.16946411132812,1615461
2022-04-08,91.12999725341797,92.9000015258789,90.82009887695312,92.16999816894531,79.5152587890625,1886131
2022-04-11,92.01000213623047,92.74500274658203,90.58499908447266,91.5999984741211,79.02352142333984,1362636
2022-04-12,93.06999969482422,94.33999633789062,91.0199966430664,91.19999694824219,78.67843627929688,1473755
2022-04-13,92.3499984741211,94.0999984741211,92.0,93.5999984741211,80.74893188476562,1234259
2022-04-14,93.83000183105469,95.27999877929688,92.77999877929688,94.36000061035156,81.40457916259766,1393161
2022-04-18,95.37000274658203,97.61000061035156,94.61000061035156,94.91999816894531,81.8876953125,2068841
2022-04-19,93.76000213623047,94.19000244140625,90.48999786376953,91.6500015258789,79.06665802001953,1951850
2022-04-20,92.1500015258789,93.16000366210938,91.4000015258789,92.87999725341797,80.12777709960938,1254148
2022-04-21,92.88999938964844,93.19999694824219,89.36000061035156,91.13999938964844,78.6266860961914,1922025
2022-04-22,90.69000244140625,91.41000366210938,85.33999633789062,86.52999877929688,74.6496353149414,1602744
2022-04-25,84.13999938964844,85.23999786376953,81.22000122070312,84.08999633789062,72.54463195800781,2423602
2022-04-26,84.02999877929688,85.91999816894531,82.66500091552734,83.0999984741211,71.69055938720703,1983646
2022-04-27,84.36000061035156,84.7300033569336,81.68000030517578,84.0,72.46698760986328,1254486
2022-04-28,84.18000030517578,85.62000274658203,81.69000244140625,84.45999908447266,72.86381530761719,1359028
2022-04-29,84.81999969482422,85.3479995727539,81.5999984741211,82.0199966430664,70.75883483886719,1197301
2022-05-02,81.0,83.47000122070312,80.44000244140625,82.76000213623047,71.3972396850586,1525298
2022-05-03,83.30999755859375,89.58000183105469,83.0199966430664,88.58999633789062,76.42680358886719,2456516
2022-05-04,91.13999938964844,96.5,89.11170196533203,94.9800033569336,81.93946838378906,4876263
2022-05-05,92.98999786376953,95.94999694824219,89.83999633789062,95.56999969482422,82.44844818115234,3094474
2022-05-06,97.0999984741211,97.48999786376953,91.5,93.1500015258789,80.3607177734375,2778003
2022-05-09,90.5999984741211,91.5250015258789,83.5999984741211,84.69999694824219,73.07087707519531,3187958
2022-05-10,84.69999694824219,88.93499755859375,82.06999969482422,83.80000305175781,72.29444885253906,2248953
2022-05-11,85.7699966430664,89.44999694824219,84.66999816894531,86.2300033569336,74.39081573486328,1666036
2022-05-12,85.77999877929688,85.77999877929688,82.16000366210938,84.48999786376953,72.88970947265625,1997333
2022-05-13,85.36000061035156,88.38999938964844,84.19000244140625,85.88999938964844,74.09750366210938,2076726
2022-05-16,87.15499877929688,90.02999877929688,87.05000305175781,89.02999877929688,76.80638122558594,2027169
2022-05-17,90.16000366210938,90.56999969482422,88.12999725341797,90.4800033569336,78.05730438232422,1886080
2022-05-18,87.70999908447266,88.42990112304688,85.52999877929688,86.62999725341797,76.72003173828125,1850956
2022-05-19,84.93000030517578,88.92790222167969,84.93000030517578,87.12000274658203,77.15397644042969,1749587
2022-05-20,87.86000061035156,91.76000213623047,87.41999816894531,91.12999725341797,80.70525360107422,2546466
2022-05-23,92.02999877929688,96.22000122070312,90.29000091552734,95.87000274658203,84.90303802490234,2232634
2022-05-24,94.88999938964844,98.37000274658203,94.30000305175781,97.87000274658203,86.67425537109375,2272312
2022-05-25,99.0,102.19999694824219,98.31999969482422,99.25,87.8963851928711,2695407
2022-05-26,99.7300033569336,101.09500122070312,98.88999938964844,100.19999694824219,88.73770904541016,2140740
2022-05-27,99.69999694824219,103.91999816894531,98.72000122070312,103.1500015258789,91.35025024414062,1485336
2022-05-31,104.56999969482422,105.0,95.29000091552734,97.37999725341797,86.24028778076172,2659608
2022-06-01,98.93000030517578,100.73999786376953,96.72000122070312,100.0,88.56057739257812,1949698
2022-06-02,99.70999908447266,100.5,96.55000305175781,98.04000091552734,86.82479095458984,1598146
2022-06-03,98.22000122070312,98.94999694824219,96.7699966430664,98.79000091552734,87.48900604248047,1229759
2022-06-06,99.3499984741211,100.0999984741211,98.51000213623047,99.75,88.33917999267578,1561746
2022-06-07,98.77999877929688,103.30000305175781,98.56999969482422,102.55999755859375,90.82772827148438,2088505
2022-06-08,102.9800033569336,103.94999694824219,97.88970184326172,99.54000091552734,88.1531982421875,1868323
